name,<10,10-19,20-29,30-39,40-49,50-59
AL,598478,638789,661666,603013,625599,673864
AK,106741,99926,120674,102008,91539,104569
AZ,892083,912735,939804,857054,833290,834858
AR,392177,397185,399698,372998,370157,395070
CA,5038433,5170341,5809455,5354112,5179258,5042094
CO,690830,697447,780508,766382,705450,725661
